review,label,,
"Apk Quipper sangat membantu dalam memahami pelajaran dengan baik apalagi ada Solusi quippernya🌠, tpi terkadang didalam pembahasan ada yg tidak dimengerti:(, seandainya ada room tanya di pembahasan supaya bisa full mengerti. Terimakasih Quipper",-1,,
"Penjelasannya bagus, tutornya juga enak ngejelasinnya, aku suka banget pakai quipper, hanya saja kenapa pdf materinya gabisa diunduh ya? Tolong dong dikasi tau bagaimana cara mengatasinya. Kalo nyatat sambil nonton video kadang ketinggalan dan fokusnya pecah. Terimakasih^^",-1,,
"Tolong dong quipper, saya lagi ngerjain soal atau tryout tiba tiba keluar sendiri dari aplikasi. padahal koneksi internet lancar, tapi setiap buka quipper selalu keluar sendiri nanti. tolong dong diperbaiki, lama lama saya jenuh kalau tetap kaya gini",-1,,
"Banyak bug. klo matematika, fisika, kimia ,Jawaban dan soalnya fail loaded",-1,,
"Aplikasinya kurang menarik, pembahasan nya lama banget gak langsung ke inti jadi butuh waktu lama buat bisa menguasai materi, tampilan nya kusam dan jadul. Aku belik paket quipper satu tahun intensif SMA + utbk tapi bentar aja pakai nya cuma 2 bulan nan itu pun cuma bukak yg tanya tutor aja. Begitu masa tanya tutorku habis aku langsung gapernah bukak. Saking tidak menarik nya",-1,,
"tolong pihak quipper, ini kenapa saat saya login tidak bisa. selalu tertulis ""TERJADI KENDALA"" saat login. saya mohon bantuannya 🙏 saya sudah beli paket utbk di quipper masa iya aplikasinya gabisa dipake. apa semua nya juga mengalami hal sama seperti saya? mohon untuk kejelasannya quipper 🙏",-1,,
Kenapa ya kak saya mau masuk ke quipper nya terus ngk bisa padahan nama pengguna sama pasword nya sama,-1,,
Bisa perbaiki bug? ktika masuk aplikasi malah auto kluar (out). Saya g mau dengar alasan hrus updrage app pdhal uda updrage app yg terbaru atau malah nyuruh alasan klasik ada mslh dengn jringan saya (kmi) pdhl jaringan baik2 saja bhkn ad yg pke Wi-Fi. Intinya msalahnya ada di bug. Dia sering kluar tiba2 saat milih mapel (scroll). Pdahl uda bersihin cache dan tab layer app lain uda dihilangkan. Tolong yak!✨ Klo ngsi Alasan maslah jaringan auto 1 bintang,-1,,
"Jadi gini Pak/Bu/Mas/Mbak, materi sejarah soal verifikasi kepake banget, soalnya banyak materi sejarah yang nggak nyambung sama data2 yang ditemukan di luar, ditambah pengejaan kata yang saya rasa kurang tepat di beberapa bahasa yang ada dalam materi. UDAH ITU AJA DULU YANG PENTING KEBACA",-1,,
"Apk nya bagus banget, tapi ada dari beberapa video pembahasan soal yang penjelasannya agak sedikit beda sama yang dicari. Tapi tetap good banget apk nya.",-1,,
Percuma make quipper Video yg udah di download gk bisa di tonton,-1,,
"Update perbaikan bug dan peningkatan performa itu salah besar -Keluar dari materi terjadi blank -Sebagian pdf tak bisa di unduh -Kadang2 terjadi hang -menu2 yg lbih berat dibuka, sebelumnya mulus. Segera perbaiki atau Quipper akan ditinggalkan oleh pelanggan",-1,,
"Tiap buka soal terus aja Loading image Padahal udah di update truss Sama keluar sendiri, masalah jaringan dan kuota lancar lancar aja Kan jadi numpuk ujungnya kalo soal dibuka gak bisa kelihatan seluruhnya Kapan selesainya",-1,,
"Pas udah ngerjain tugas sering keluar sendiri, terus pas saat ngerjain soal... Tulisan ga bisa memuat... Cuma gambar gunung doang... Malah tugas ku banyak lagi, malah bermasalah nih quipper",-1,,
"Kenapa ya sejak aku update selalu ngk bisa kebuka tgsnya, padahal materi sama pesannya baik baik aja karna ini aku ngk bisa kerjain tugas, tolong dong ya😊, ngk marah kok cuma mau minta tolong 😭",-1,,
"Iklannya berlebihan, kakak² nya bilang mau bahas tentang solusi buat yg masih galau nentuin jalan setelah lulus SMP, tapi yg di bahas malah cmn ngendorse ni aplikasi doang:(",-1,,
"Kenapa saat memutar video selalu aja ada tulisan tidak ada internet di bawahnya, padahal internet bagus dan stabil, tolong di perbaiki, ini sangat mengganggu sekali",-1,,
"Pas lagi ngerjain pasti ada tulisan ""terputus dari sambung"" Abis itu ""tersambung ke jaringan"" Udh itu ngulaaaaaaaaaang terus tulisan itu padahal internet baik baik aja",-1,,
"bagus sii cukup bagus cuman kok aku jawab soal tiba tiba pembahasannya ada (-)nya jadi salah soal sama pembahasan beda, kan jadi nyeselll",-1,,
"Masih sering mengalami gangguan server, WiFi bar saya sudah full tapi sering tertulis ""tidak ada koneksi internet"". Overall bagus lah",-1,,
"quiper ini bagi saya sangat membantu saya untuk belajar lebih praktis ,lebih mudah di pahami dan di mengertii ,tetapi mengapa tiba tiba dari bulan desember kemaren quiper tidak bisa berfungsi dan sulit banget untuk di buka.",-1,,
Apk nya sering keluar keluar sendiirii gak enak bgt buat ngerjain soal tb tiba keluar.. Saya merasa dirugikan. Jd males buat buka quipper padahal dah bayaar.,-1,,
"kenapa setelah mengerjakan tugas trus pencet ""kembali ke materi"" suka keluar sendiri dari aplikasi?",-1,,
"kenapa saat saya mengerjakan soal tidak muncul gambarnya, hal itu membuat saya bingung dalam mengerjakan soal dan menjawabnya😢",-1,,
Kenapa tidak ada bunyi notif tugas masuk? Kasih tau gimana caranya. Aku nyarinya ga nemu,-1,,
server ga lancar !!!!!!!!!!!!!!!!!!!!!! WiFi kenceng ttep ae buffering mulu pas buka tugas!!!!!!!!,-1,,
Kurang berguna karena harus pakai paket belajar gak ada yang gratis lagi jadi kurang efektif.. kecewa.. 😭😭,-1,,
"Min kenapa saya udah berhari2 buka soal yg pake gambar masih loading terus padahal koneksi internet saya lancar, tolong ditanggapi secepatnya....",-1,,
"Keseringan update kyknya:) terus kalo ada diagram sering loading gambar gunung pdhl mau buru"" ngerjain :')",-1,,
Gue udh pnya akun nah karna beralih ke yg lain gua logout dan mau msk lg lupa pass nya tp g bisa masuk jg wkwkw sumpah ribet bngt. Mending pake punya tetangga maaf,-1,,
"UI Aplikasinya bikin bingung gk sebagus Ruangguru atau Zenius, Seharusnya SMA dikategorikan berdasarkan jurusan Contoh saya jurusan ipa materinya ipa juga jangan ada materi ips-nya.... 😐",-1,,
kadang lemot pdhl udah pake kuota,-1,,
Banyak bug nya.. banyak gambar yang gagal di load di apk nya padahal via web aman aman aja,-1,,
"Permisi kak,, apk nya sangat bagus dan bermanfaat. Tapi mengapa akun quipper saya gagal memuat foto di soal latihan? Saya jadi tidak bisa mengerjakan latihan soal dari quipper. Tolong dibenahi ya ka. Terimakasih",-1,,
Saya di beri soal guru saya saya jawab ini salah jawab itu salah semua jawaban sudah saya tekan tapi beberapa saat saya jawab ada yang benaar mau anda apa!!😖😖😠,-1,,
Heh gimana sih aku berulang kali mau masuk tapi tidak bisa coba perbaiki deh developer,-1,,
ada beberapa soal yang jawabannya salah. Aplikasi sering crash keluar sendiri,-1,,
kenapa ya setelah di upgrade tugas tugas sebelumnya jadi tidak muncul,-1,,
"quipper punya saya tidak bisa download materi, ini gimana?",-1,,
Mengumpulkan tugas/soal/mengerjakan kembali sangat lemot,-1,,
saya sudah login lewat Facebook tapi tetap tidak bisa,-1,,
Fitur download vidio kurang memuaskan,-1,,
Apk bangke masa gw mau ngirim tugas kagak bisa dah dimarahin guru dihh apk bangsatt,-1,,
Cara ngakses tryout-nya gimana kak?,-1,,
Aplikasi nya gk bgus apalagi masterclass nya sebagian gak berguna KK tutor😒🙄,-1,,
Woy jan keseringan update napa masa baru diinstal langsung update,-1,,
"Menyebalkan, sangat menyebalkan",-1,,
"mengapa tiba-tiba tidak bisa di pakai?😭😭 sbelumnya memang berjalan dg baik dari bulan November ,tpi tdi pagi video nya tidak bisa diputar,saya sangat membutuhkan penjelasan materi tersebut,padahal masa langganan saya masih lama, internet juga lancar apk nya juga udh di update..mengapaaaaa??😭😭😭😭",-1,,
kadang penjelasan membingungkan,-1,,
Gimana cara daftarnya😭,-1,,
Materi yang ada di panduan belajar menurut saya banyak yang terdapat salah pengetikan sehingga mungkin akan membuat sebagian orang menjadi bingung. Mohon diperbaiki dan dicek lagi satu satu panduan belajarnya agar tidak ada kekeliruan,-1,,
"Maaf cuma kasih bintang 3, aslinya bagus banget, penjelasannya bisa saya mengerti, tapi terkadang ada beberapa penjelasan ditulis di papan tulisnya yang terhalangi oleh badan pengajarnya, jadi untuk beberapa video penjelasanya kurang bisa diterima bahkan kadang sampai tidak paham apa yang dijelaskan karena terhalang badan pengajarnya",-1,,
Makai koinnya gimana?,-1,,
Aku mau daftar dan udah di isi semua tapi waktu proses akhir mau buat akun kenapa ngga bisanya tolong di perbaiki ya padahal jaringan saya baik baik saja,-1,,
Aplikasinya lemot Tugas dari guru tidak bisa saya kerjakan karena tidak keluar setelah saya update versi baru malah semakin error setelah saya cek bukan jaringan saya. Bagaimana ini quipper???? Saya juga mau ganti pass ditolak terus email dikatakan tidak valid. Apa woy saya sudah kirim pesan email keluhan tapi juga tidak dibalas oleh pihak quipper.,-1,,
"Haloo kenapa ya akhir²ini saya kesusahan dalam mendownload video pembelajarannya? padahal koneksi internet saya lancar. Mohon untuk diperbaiki sistemnya, karena saya lebih nyaman akses secara offline daripada online",-1,,
"Ini knp ya, gk bisa buat download panduan belajar padahal sinyalnya bgus?? Tp selebihnya okelah buat quipper ini",-1,,
"Sebenarnya aplikasi nya udah oke. Cuma yang bikin bete adalah pas ngerjain soal itu jawaban udah benar tapi malah di salahkan. Padahal di penjelasan nya juga udah bener. Jujur aja, itu nyebelin banget. Dan itu ga cuma sekali dua kali tapi hampir tiap soal pasti ada",-1,,
"Admin Quipper, aplikasi ku kenapa terus-terusan ada tulisan koneksi terputus (tulisan merah) gitu waktu muter video. Sering terganggu :( padahal aku lagi serius belajar sering terhenti karena masalah itu. Jaringan internetku bagus kok, buka aplikasi lain lancar, tapi kenapa hanya Quipper doang yang macet-macet gajelas 💔 Please Quipper, why you break my good mood while studying seriously😭",-1,,
"Saya dulu di SMP ada mas mas promosi quipper, ga ramah bgt, sombong nunjukin kekayaannya sama kepinterannya, saya bisik bisik sama teman saya langsung di marahin di bentak dan di sindir beberapa kali hingga saya malu sama teman"" saya xixi, kenangan yang tak terlupakan brou",-1,,
Untuk aplikasinya Sudah bagus Namun ketika mengerjakan soal kenapa Gambar pada soalnya tidak muncul (bertuliskan Loading Image) Padahal jaringan handphone saya bagus. Untuk itu saya memohon agar Masalah Ini diselesaikan,-1,,
Kenapa setiap ada soal gambar selalu ga bisa di buka padal jaringan saya bagus..tapi untuk keseluruhan good lah,-1,,
"Terimakasih quipper sudah membantu dalam belajar, hanya saja kadang penjelasan ada yang tidak lengkap, tapi bagus sih di kasih ebooknya jdi tinggal baca baca, terus masalah update utbk tolong di tingkatkan lagi terimakasihhh...",-1,,
"Tadi saya barusan upgrade Quipper nya.tapi sesudah upgrade tugas saya yang berbentuk gambar kok ga kebuka?padahal jaringan on, sebelum upgrade always bisa.ini kok ga??tolong perbaiki!! Sesudah upgrade malah kek gini!tolong ya!!ini tugas sekolah bagaimana caranya kalau soalnya ga keluar!!",-1,,
"Note dari salah satu pengguna apk quipper : nama panduan belajar yang didownload gak auto berubah, semua namanya sama, panduan belajar yang sebelumnya sudah didownload isinya jadi ke rewrite materi yang lain.",-1,,
"hai admin, kmren sy uda install apk quipper tp tdk sengaja teruninstall terus pas saya instal lagi st login kok kelas sy hilang semua terus udah saya coba masukin kode kelas saya kok malah nggk bisa masuk sih tulisannya kode salah pdhl kode udah bener kok, ini gmn ya",-1,,
"gabisa buka tugas kalau belum di update, tapi waktu mau nge update di Play Store malah tertunda terus, padahal buat apk lainnya bisa. tugas saya jd numpuk",-1,,
"kenapa quipper saya tugasnya ga bisa dibuka udah saya refresh loading terus, saya harus segera mengerjakan tugas karena tenggat waktu hari ini gimana dong, dimohon segera ada tindakan bantuan yaaa",-1,,
"Hai quiper saya baru pertama kali menggunakan apk quiper untuk belajar tetapi kenapa saat saya sedang berada di tengah² pelajaran jadi loading lama ya?padahal jaringan saya stabil,mohon di perbaiki lagi ya☺️🙏",-1,,
"Quiper banyak masalah bug... tolong di perbaiki lagi, masalahnya.... tiba"" aja soalnya udah keisi sendiri padahal sya belum jawab mana itu soal ujian lagi sya jadi salah banyak😩😭😭 terus pas lagi ngejawab apknya keluar sendiri udah berapa kali kyk gitu kak.... Pokoknya Sya kecewa dgn apk ini😒😭 knp harus ini padahal googleclassroom ada.....😒",-1,,
"Wooyy eror, nilai dapet bagus tapi aku pas nyampe ke guru cuma dapet nilai 20, paraah jauh nyaa, nyesel, kecewa,apalagi dah kls 12.",-1,,
"aplikasinya udah bagus , materinya mudah di pahami tapi tolong di perbaiki bug nya, di salah satu video pembelajaran, videonya macet, tidak bisa di putar",-1,,
"Aplikasinya sudah bagus, tapi ada kekurangan. Biasanya pembahasan soal mtk penulisannya gk sempurna jadi bingung gk bisa liat pembahasannya",-1,,
trima kasih krn saya yg tdinya agak tdk mngrti mteri awal mtk tpi skrg sudh sdkit bisa mtk. saya harap panduan belajarnya bisa dilampirkan disemua mteri agar hanya dilihat diaplikasi quipper. soalnya saya tdk ada aplikasi pdf utk mmbukanya. trima ksih.,-1,,
"saya heran sama ni apk misalnya pas ngerjain soal tak jawab soalnya ""a"" salah, pas ngulang lagi jawabanya ""a"" lagi malah bener??? ni apk kemasukan apa yakk??? 🙄🙄🙄",-1,,
"Tolong quiper diperbaiki knp jawaban soalnya yg gak kebuka yg gambar, gara2 itu saya asal aja jawab ya dan mengakibatkan nilai saya rendah, sekian dan terima gaji, semoga pandemi segera pergi, gasabar pengrn sekul lagi☺️",-1,,
"untuk notifikasi tugas sekarang malah hilang, terus banyak tugas atau materi yang diberikan tidak bisa di buka mengapa bisa demikian?? mohon di perbaiki",-1,,
Kenapa ya soal sama jawabannya enggak bisa ke buka padahal jaringan nya lancar terus apk nya jg udah di update,-1,,
Kpd developer saya menemukan bug dimna dlm materi A banyak keluar soal materi B jadi nya nilai saya turun dan bisa2 saya gk naik kelas udah sih itu aja keluhan saya selebih nya bagus,-1,,
"Min di pembahasan soal nya,kok gakedetect ya lambang lambang seperti Lamda,semunya berubah jadi kode kode(bahasa alien),kenapa ya??",-1,,
"Kode sekolah nya itu apaya, soalnya saya suda lulus sekolah min mau buat akun quipper",-1,,
"banyak bug, apalagi masalah jaringan, sudah download pelajaran, namun pelajar tdk bisa diputar",-1,,
"Tolong di perbaiki quipernya, gk bisa di buka tugasnya loading trs. Udh pakai wifi,data,vpn gk biaa.",-1,,
Aplikasi Quipper nya sering log out sendiri atau keluar sendiri gituh..😐😥😐😥😐😥,-1,,
Aku kok gak bisa login ya padahal Email sama sandinya dah bener. Malah minta update padahal udah di update.😤,-1,,
Kak Mia Syafrina kalau menjelaskan Soal langsung ditulis gk dikasih tau prosesnya dari mana kemana bikin bingung,-1,,
aplikasi burik mau daftar aja g bisa tolong dibantu!!! orang udah download habisin kuota,-1,,
Kok mau Download modulnya susah yaa:( tolong dong pihak Quipper:(,-1,,
Pengajar sih enak mudah dimengerti cuma yang bikin kesel nya ada masalah bug gitu kadang gambar nya di soal gak terlihat,-1,,
Mahal. Susah masuk di otak juga materi nya. Dah lah nyesal pokoknya. Mending bimble online sebelah 😭,-1,,
"Mohon yg nyiptain ni aplikasi bunuh dia,kalo dah mati,bunuh generasinya,kami sumpek",-1,,
"Ahhh, Interfacenya bikin bingung, materinya gak berurutan, kadang gambar di soal gak bisa kebuka. Koneksi internet lancar tapi terus di sangka offline.",-1,,
"tolong disesuaikan sesuai materi kurikulum terbaru ya kakk, masi ada yg suka beda sama materi disekolah :)",-1,,
"bagusss,tapi masalahnya napa sering update,baru ngapdate tangga 4 februari,sekrng tanggal 7 februari harus di update lagi,tapi apk nya bagusss kokk",-1,,
"Hallo min slmt pgii,quipper saya knp ya?ko setelah di update malah gabisa liat tugas?padahal jaringan bagus",-1,,
Ini knp ya tiap minggu harus di update Tolong dong kk diperbaiki Masa tiap minggu harus saya update,-1,,
Bagus sih penyampaian materi nya tapi rada kurang masuk ke otak gituu coba tambahin animasi atau apa gitu biar ga monoton papantulis hehe,-1,,
Gimana cara daftarnya si? Terjadi kendala mulu padahal sinyal 4G. TOLONG BANTU KAKK,-1,,
Belajar dari youtube videonya mudah dipelajari pas daftar eh gak bisa mulu kenapa itu?,-1,,
